SeqID	0dpa_1	0dpa_2	0dpa_3	1dpa_1	1dpa_2	1dpa_3	3dpa_1	3dpa_2	3dpa_3
1700017n19rik|rna13547|gene4145|Level=3	0.082	0.441	0.193	0.200	0.093	0.374	0.531	0.428	0.472
2310030g06rik|rna37370|gene17316|Level=3	4.415	5.636	7.889	3.025	4.307	4.522	8.019	9.012	7.948
42Sp50|rna26867|gene8315|Level=1	0.279	0.690	0.164	0.330	0.295	0.204	0.258	0.369	0.486
4930486l24rik|rna55710|gene28824|Level=3	0.209	2.684	0.127	0.000	0.000	0.315	0.067	0.301	0.074
4930562c15rik|rna61634|gene32587|Level=3	7.577	7.061	6.045	16.302	16.479	15.742	23.577	24.236	15.495
5430427o19rik|rna9422|gene2866|Level=3	1.608	2.191	1.832	3.135	2.408	2.089	0.891	2.481	1.978
COX3|rna28486|gene9400|Level=1	34295.300	28635.300	32211.600	27751.500	29728.500	29567.300	46798.100	50023.300	50611.200
LOC100036665|rna8436|gene2539|Level=3	0.265	0.361	0.256	0.433	0.419	0.376	0.403	0.591	0.380
LOC100037835|rna46461|gene23083|Level=3	11.086	17.256	8.787	6.896	7.915	10.894	4.989	7.659	5.053
LOC100037835|rna52835|gene27063|Level=3	4.803	9.491	2.761	3.506	3.485	4.520	2.543	3.016	2.193
LOC100038305|rna49441|gene24883|Level=3	18.268	12.330	23.635	15.171	17.670	19.726	34.066	28.601	33.594
LOC100124852|rna53257|gene27334|Level=3	1.701	10.905	0.731	0.939	1.004	0.642	0.210	0.596	0.209
LOC100125044|rna46910|gene23383|Level=3	1.208	1.545	1.202	0.878	1.186	1.199	0.681	0.940	0.567
LOC100125107|rna40665|gene19463|Level=3	10.516	13.888	15.227	9.305	14.340	15.449	19.233	33.975	20.426
LOC100125107|rna54567|gene28155|Level=3	7.664	8.930	13.218	6.198	7.720	10.297	20.032	25.193	21.992
LOC100127565|rna21931|gene6792|Level=3	0.214	0.146	0.144	0.030	0.070	0.104	0.079	0.177	0.176
LOC100127857|rna10844|gene3313|Level=3	3.197	6.158	4.475	86.157	92.389	58.684	3.322	4.623	4.852
LOC100135188|rna37088|gene17114|Level=3	28.482	35.967	22.448	23.058	26.499	27.119	22.479	23.640	21.879
LOC100135405|rna11386|gene3465|Level=3	18.712	18.325	22.120	37.972	37.888	37.035	22.498	26.869	27.812
LOC100144954|rna43261|gene21078|Level=3	33.177	35.320	28.520	15.988	20.103	17.718	5.926	8.959	6.324
LOC100144974|rna11066|gene3376|Level=3	6.212	11.081	7.056	4.563	5.596	7.222	3.652	5.348	4.354
LOC100145016|rna10714|gene3268|Level=3	5.319	10.108	5.280	19.608	20.820	25.699	14.176	14.809	12.878
LOC100145082|rna61273|gene32352|Level=3	21.866	17.965	23.245	17.959	14.806	14.407	50.322	47.660	51.378
LOC100145105|rna27723|gene8650|Level=3	0.118	0.000	0.938	0.000	0.000	0.662	1.681	3.155	3.335
LOC100145115|rna5350|gene1636|Level=3	1.063	2.016	4.026	1.182	1.674	2.332	1.964	2.341	2.047
LOC100145148|rna35310|gene15963|Level=3	11.203	23.095	14.852	13.828	14.587	17.184	17.815	19.743	17.238
LOC100145450|rna55759|gene28860|Level=3	3.725	3.636	2.742	3.119	4.038	3.769	4.211	4.135	4.047
LOC100145473|rna55038|gene28425|Level=3	6.210	9.897	5.343	6.215	6.413	8.453	6.694	9.414	6.191
LOC100145493|rna6961|gene2122|Level=3	6.227	10.718	5.300	5.211	6.333	7.105	6.223	8.134	6.606
LOC100145764|rna26760|gene8280|Level=3	1.024	2.645	0.627	1.601	1.988	1.916	0.276	0.691	0.306
LOC100170611|rna5222|gene1598|Level=3	6.276	8.087	5.076	3.009	2.750	3.253	0.695	2.420	1.436
LOC100216007|rna19981|gene6185|Level=3	2166.300	313.110	982.871	259.416	284.698	217.573	33.868	43.002	41.566
LOC100216241|rna57989|gene30285|Level=3	0.882	1.003	0.698	0.711	0.428	0.556	2.258	1.400	0.954
LOC100217322|rna63662|gene33790|Level=3	13.203	28.388	32.064	14.229	13.301	14.619	20.156	33.151	24.950
LOC100271753|rna8944|gene2701|Level=3	0.132	0.078	0.135	2.629	1.775	2.710	12.152	5.270	13.800
LOC100484994|rna62208|gene32927|Level=3	0.155	0.661	0.069	0.387	0.416	0.226	1.674	0.605	0.840
LOC100485006|rna52417|gene26807|Level=3	1.021	1.672	1.358	0.564	0.854	1.246	1.215	1.573	3.332
LOC100485032|rna62513|gene33099|Level=3	0.044	0.138	0.094	0.048	0.070	0.111	0.229	0.200	0.324
LOC100485040|rna35758|gene16230|Level=3	39.059	45.078	27.159	21.117	21.887	23.740	27.401	33.055	20.932
LOC100485044|rna5464|gene1669|Level=3	0.176	0.160	0.237	0.131	0.280	0.229	0.144	0.362	0.160
LOC100485062|rna47542|gene23773|Level=3	4.154	4.324	2.958	3.262	3.283	3.398	1.960	2.849	2.284
LOC100485064|rna2792|gene871|Level=3	3.151	4.326	2.661	3.863	4.049	4.190	6.177	5.703	5.962
LOC100485132|rna31518|gene12393|Level=3	0.070	0.098	0.162	0.346	0.079	0.315	0.000	0.306	0.289
LOC100485132|rna50545|gene25599|Level=3	0.284	0.688	0.315	0.179	0.304	0.309	0.260	0.170	0.171
LOC100485142|rna57719|gene30116|Level=3	23.302	64.868	21.654	15.021	23.045	24.503	19.783	34.104	22.819
LOC100485167|rna23700|gene7335|Level=3	3.412	2.825	6.544	2.034	3.366	2.723	12.563	13.692	12.156
LOC100485174|rna60590|gene31970|Level=3	0.210	0.251	0.495	0.068	0.159	0.080	0.000	0.000	0.101
LOC100485199|rna12102|gene3693|Level=3	15.417	26.849	15.309	15.116	16.592	17.601	12.198	15.720	13.891
LOC100485201|rna39117|gene18397|Level=3	1.114	1.263	0.561	0.548	0.462	0.739	5.005	3.395	3.604
LOC100485218|rna56891|gene29571|Level=3	1.543	1.573	1.237	0.959	0.788	0.864	0.520	0.673	0.257
LOC100485232|rna37130|gene17142|Level=3	0.417	1.265	0.396	0.541	0.612	0.842	1.198	1.835	1.011
LOC100485235|rna61693|gene32628|Level=3	0.210	2.554	0.296	0.819	0.334	0.668	0.217	0.194	0.121
LOC100485340|rna19388|gene6007|Level=3	0.525	0.263	0.190	0.339	0.382	0.355	0.468	0.398	0.304
LOC100485380|rna41850|gene20195|Level=3	0.142	0.386	0.167	0.293	0.323	0.332	0.551	0.694	0.884
LOC100485387-like.1|rna31862|gene12735|Level=3	0.058	0.100	0.000	0.208	0.067	0.228	1.419	0.302	1.122
LOC100485404|rna14733|gene4527|Level=3	0.404	0.390	0.974	0.113	0.153	0.241	0.398	0.646	0.083
LOC100485439|rna28594|gene9507|Level=3	0.100	0.059	0.059	0.047	0.169	0.170	0.312	0.341	0.067
LOC100485511|rna47035|gene23468|Level=3	2.535	2.375	4.953	0.915	2.753	1.962	12.108	12.125	12.841
LOC100485512|rna36677|gene16825|Level=3	0.073	0.013	0.085	0.010	0.059	0.105	0.476	0.487	0.250
LOC100485534|rna12965|gene3967|Level=3	0.722	1.697	0.962	1.377	1.751	2.295	1.016	1.610	1.616
LOC100485552|rna57502|gene29978|Level=3	1.286	2.874	0.797	1.153	1.474	1.488	2.788	2.045	1.713
LOC100485553|rna3721|gene1159|Level=3	0.255	1.543	0.461	0.979	0.426	0.426	0.352	0.394	0.586
LOC100485599|rna34121|gene14947|Level=3	79.371	83.240	89.198	104.346	106.628	98.881	128.263	118.806	92.549
LOC100485614|rna35808|gene16261|Level=3	1.449	1.727	2.574	2.163	1.401	2.996	4.918	4.012	5.063
LOC100485626|rna49965|gene25224|Level=3	12.083	6.933	30.784	0.020	11.763	0.375	142.632	31.804	94.404
LOC100485670|rna48693|gene24460|Level=3	0.787	1.094	0.288	0.629	0.551	0.912	4.050	3.104	3.399
LOC100485704|rna59009|gene30913|Level=3	0.380	0.296	0.298	0.608	0.338	0.479	2.068	1.696	1.219
LOC100485719|rna26239|gene8129|Level=3	5.422	7.184	33.595	8.180	8.735	10.282	6.112	4.905	6.046
LOC100485794|rna35849|gene16291|Level=3	6.080	2.123	4.121	7.503	5.937	7.085	11.020	6.479	5.227
LOC100485833|rna42066|gene20320|Level=3	0.164	0.073	0.229	0.090	0.209	0.361	0.198	0.604	0.250
LOC100485840|rna45932|gene22769|Level=3	6.824	7.485	5.753	7.417	8.194	8.934	11.183	11.540	10.231
LOC100485864|rna54953|gene28374|Level=3	0.520	0.273	0.505	0.548	0.793	0.998	0.735	0.857	0.571
LOC100485898|rna22656|gene7028|Level=3	1.372	1.620	2.519	0.689	1.116	1.590	4.826	5.126	6.284
LOC100485905|rna37845|gene17615|Level=3	8.544	13.826	6.668	8.033	9.311	10.356	11.965	12.667	12.188
LOC100485920|rna16726|gene5140|Level=3	51.729	134.472	42.599	45.601	76.010	95.885	102.655	125.166	104.735
LOC100485927|rna59182|gene31030|Level=3	0.430	0.486	0.570	0.687	0.614	0.572	0.372	0.675	0.459
LOC100485943|rna59273|gene31097|Level=3	1.811	2.014	1.396	2.210	2.280	2.514	3.108	2.993	2.858
LOC100485955|rna55228|gene28543|Level=3	5.465	21.183	5.771	5.545	6.820	10.507	10.918	13.353	8.275
LOC100485975|rna52608|gene26928|Level=3	0.233	0.417	0.247	0.523	0.265	0.371	0.301	1.214	0.535
LOC100486003|rna9184|gene2784|Level=3	5.540	7.946	17.523	6.527	7.666	10.182	7.037	8.355	11.455
LOC100486035|rna52325|gene26745|Level=3	0.000	0.000	0.000	0.230	0.067	0.134	0.456	0.443	0.422
LOC100486038|rna41261|gene19841|Level=3	1.454	3.956	1.193	1.752	2.842	1.793	0.329	0.666	1.492
LOC100486065|rna55393|gene28628|Level=3	0.079	0.094	0.046	0.038	0.075	0.120	0.306	0.274	0.302
LOC100486074|rna496|gene169|Level=3	4.416	4.828	3.148	6.853	6.963	7.170	18.181	12.560	15.330
LOC100486093|rna48428|gene24307|Level=3	4.329	5.261	5.368	2.868	5.090	5.130	4.276	6.885	5.443
LOC100486098|rna2297|gene721|Level=3	0.839	1.000	0.493	0.409	0.000	0.954	0.542	0.971	3.009
LOC100486142|rna42794|gene20775|Level=3	7.022	9.255	6.448	10.638	10.561	13.498	8.303	10.791	9.029
LOC100486155|rna58519|gene30602|Level=3	0.333	0.695	0.316	0.345	0.323	0.277	0.245	0.289	0.244
LOC100486158|rna53844|gene27682|Level=3	1.289	1.017	0.615	2.307	1.528	1.487	0.428	0.911	0.476
LOC100486181|rna33303|gene14147|Level=3	7.789	10.741	7.728	8.050	7.518	7.521	11.519	10.912	10.300
LOC100486202|rna48156|gene24146|Level=3	0.682	1.033	0.517	0.593	0.509	0.621	0.913	0.729	0.826
LOC100486224|rna61558|gene32527|Level=3	0.081	0.399	0.109	0.135	0.144	0.118	0.313	0.387	0.232
LOC100486241|rna29058|gene9965|Level=3	2.116	1.408	3.184	1.823	1.454	1.343	0.699	1.082	0.424
LOC100486247|rna35827|gene16275|Level=3	3.369	4.579	2.714	3.970	4.100	4.613	6.634	5.680	5.570
LOC100486258|rna34176|gene15001|Level=3	1.100	1.124	0.739	0.613	0.625	0.804	1.624	2.454	1.578
LOC100486287|rna28577|gene9490|Level=3	0.023	0.306	0.214	0.159	0.051	0.229	0.261	0.551	0.475
LOC100486289|rna51170|gene25983|Level=3	2.183	2.060	4.936	0.648	1.035	1.316	4.415	6.765	3.731
LOC100486393|rna60845|gene32099|Level=3	2.815	21.456	3.438	3.787	5.062	4.902	10.775	16.204	14.213
LOC100486443|rna53886|gene27715|Level=3	0.822	0.941	0.371	0.634	0.702	0.723	0.552	0.951	0.726
LOC100486478|rna52846|gene27070|Level=3	2.740	2.717	1.933	3.275	2.558	3.446	2.647	3.248	2.783
LOC100486498|rna43510|gene21232|Level=3	2.414	1.251	0.809	1.836	1.070	1.433	3.796	1.785	2.552
LOC100486501|rna48941|gene24600|Level=3	2.927	2.943	8.094	1.591	2.382	4.595	3.298	16.062	5.498
LOC100486511|rna37339|gene17292|Level=3	6.316	5.465	4.051	10.635	13.797	7.782	0.552	0.618	1.214
LOC100486529|rna442|gene151|Level=3	0.250	0.256	0.126	0.384	0.407	0.447	0.000	0.041	0.000
LOC100486535|rna14717|gene4521|Level=3	8.364	10.809	7.592	6.343	6.444	7.123	6.868	7.559	6.657
LOC100486571|rna7783|gene2353|Level=3	2.359	1.776	1.054	1.506	1.971	3.883	2.816	3.452	1.087
LOC100486588|rna47331|gene23654|Level=3	8.855	11.566	7.223	8.730	8.840	11.307	11.165	10.517	10.567
LOC100486596-like.1|rna32564|gene13423|Level=3	0.000	0.551	0.000	0.000	0.525	0.525	0.597	0.000	0.663
LOC100486596-like.2|rna27707|gene8634|Level=3	5.179	4.713	7.697	8.504	7.228	6.508	8.337	8.621	8.865
LOC100486597|rna15756|gene4835|Level=3	110.948	154.559	133.218	156.667	206.451	195.690	184.009	184.398	199.931
LOC100486608|gene26480|gene26480|Level=3	0.351	0.582	0.351	0.229	0.634	0.510	0.354	0.425	0.328
LOC100486681|rna55853|gene28919|Level=3	0.000	6.965	0.000	0.000	1.106	1.107	3.774	2.253	5.587
LOC100486692|rna1534|gene491|Level=3	3.913	3.327	5.672	12.556	10.339	9.967	3.862	5.158	4.525
LOC100486751|rna34645|gene15467|Level=3	0.000	0.000	0.000	0.156	0.106	0.692	0.017	0.310	0.499
LOC100486764|rna37907|gene17659|Level=3	0.116	0.044	0.422	0.033	0.238	0.040	0.091	0.426	0.111
LOC100486765|rna19524|gene6051|Level=3	0.923	6.327	1.795	1.538	3.615	4.879	1.156	1.671	1.222
LOC100486773|rna48621|gene24421|Level=3	0.873	0.361	0.357	0.414	0.289	0.565	6.390	4.909	5.008
LOC100486807|rna47835|gene23949|Level=3	1.627	8.580	3.074	1.882	2.996	3.341	3.310	5.732	3.349
LOC100486832|rna37455|gene17357|Level=3	0.066	0.026	0.104	0.130	0.252	0.428	3.405	1.640	1.970
LOC100486836|rna51143|gene25961|Level=3	6.024	5.578	5.187	1.952	2.103	2.238	8.763	1.550	9.512
LOC100486853|rna29251|gene10155|Level=3	12.982	19.871	12.324	12.571	15.777	18.892	14.661	14.512	11.855
LOC100486881-like|rna30385|gene11270|Level=3	1.643	1.603	4.657	0.947	2.971	1.868	8.493	5.876	11.573
LOC100486894|rna48084|gene24098|Level=3	5.714	8.402	4.671	8.626	8.184	9.440	11.656	11.717	10.162
LOC100486918|rna53913|gene27730|Level=3	1.781	1.429	3.813	2.928	3.316	2.416	1.311	3.661	2.715
LOC100486924|rna9821|gene3000|Level=3	4.593	4.239	3.486	2.167	2.525	2.358	1.532	1.886	2.551
LOC100486952|rna59359|gene31158|Level=3	7.551	13.388	6.093	4.141	5.032	4.727	0.601	1.702	1.249
LOC100486969|rna1599|gene517|Level=3	1.727	0.358	2.827	0.732	1.963	0.512	0.194	2.346	0.754
LOC100486992|rna26452|gene8188|Level=3	4.605	5.978	4.763	6.553	6.500	6.333	4.679	4.877	5.089
LOC100487003|rna34716|gene15538|Level=3	0.375	0.298	0.221	0.488	0.320	0.675	0.202	0.687	0.538
LOC100487008|rna15974|gene4911|Level=3	0.679	1.415	0.507	0.684	1.168	0.929	0.455	0.917	0.673
LOC100487009|rna46572|gene23158|Level=3	5.059	8.804	5.147	8.510	9.437	9.694	9.302	8.855	10.157
LOC100487054|rna45825|gene22690|Level=3	4.568	3.967	4.329	5.177	7.264	9.305	6.151	7.601	6.706
