SeqID	sham_A1	sham_A2	sham_A3	day1_B2	day1_B3	day6_C1	day6_C2	day6_C3	day28_D1	day28_D2	day28_D3
1700066B19Rik|ENSRNOT00000060688	0.719	0.836	0.649	0.757	0.724	0.786	0.434	0.661	0.569	0.248	0.778
1700092M07Rik|ENSRNOT00000073052	5.712	3.157	3.760	8.300	2.616	6.210	6.329	1.690	4.823	3.093	3.092
3110082J24Rik|ENSRNOT00000075298	0.000	2.048	2.413	1.065	1.680	0.995	2.433	1.076	0.000	0.000	0.000
4930444P10Rik|ENSRNOT00000074957	0.391	0.330	1.167	0.341	0.269	0.636	0.260	0.000	1.029	0.332	0.653
5330417C22Rik|ENSRNOT00000027493	3.789	4.004	3.587	2.833	2.564	1.526	1.439	1.761	2.692	2.167	2.337
5S_rRNA|ENSRNOT00000052636	0.000	1.663	0.000	0.000	0.000	0.000	0.000	0.000	1.304	0.000	1.653
5S_rRNA|ENSRNOT00000052922	0.000	0.000	0.000	0.001	5.002	5.705	5.673	0.000	0.000	10.816	0.000
5S_rRNA|ENSRNOT00000053560	0.000	0.000	1.609	0.000	1.061	0.000	1.036	0.000	0.000	0.000	1.478
5S_rRNA|ENSRNOT00000053960	1.820	1.743	1.933	0.000	7.985	1.637	1.245	0.000	2.719	0.000	1.727
5S_rRNA|ENSRNOT00000054649	0.000	1.431	1.631	0.000	1.090	0.000	0.000	0.000	0.000	0.000	0.000
5S_rRNA|ENSRNOT00000062285	1.589	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.168	2.937	0.000
5S_rRNA|ENSRNOT00000062468	16.894	1.370	4.685	11.619	7.248	7.980	7.212	5.663	5.658	4.219	7.318
5S_rRNA|ENSRNOT00000062763	3.244	1.491	1.669	2.757	0.000	0.000	0.000	0.000	1.203	0.000	0.000
5S_rRNA|ENSRNOT00000063473	0.000	1.511	0.000	0.000	0.000	0.000	1.113	4.568	1.244	0.000	0.000
5S_rRNA|ENSRNOT00000063605	0.000	3.062	1.746	1.475	2.389	0.000	1.135	0.000	6.376	1.618	1.568
5S_rRNA|ENSRNOT00000063647	0.000	0.000	1.631	1.331	0.000	2.814	0.000	1.446	2.335	0.000	0.000
5S_rRNA|ENSRNOT00000069182	13.318	10.698	5.881	8.260	5.376	8.453	2.580	5.201	5.611	0.000	1.819
5S_rRNA|ENSRNOT00000069219	4.729	2.814	0.000	6.586	4.302	6.914	6.277	1.438	0.000	0.000	4.418
