SeqID	tissues	sham+4days_1	sham+4days_2	SCI+4days_1	SCI+4days_2	SCI+4days_3
A1CF|XM_034776857.1|mRNA	11.254	0.069	0.429	0.019	0.109	0.116
A2ML1|XM_034785942.1|mRNA	0.084	1.110	20.276	3.208	8.795	9.247
A2ML1|XM_034785961.1|mRNA	2.337	19.156	0.025	17.379	0.000	0.560
A2ML1|XM_034785971.1|mRNA	0.086	1.224	1.320	1.365	0.880	0.475
A2ML1|XM_034785980.1|mRNA	0.000	0.298	0.145	0.285	0.000	0.345
A2ML1|XM_034785994.1|mRNA	0.244	1.514	0.373	1.445	0.254	0.507
A2M|XM_034785816.1|mRNA	1.496	0.000	0.000	0.297	0.000	0.000
A2M|XM_034785824.1|mRNA	0.352	0.000	0.000	0.224	2.205	1.201
A2M|XM_034785833.1|mRNA	0.233	0.000	0.383	0.000	2.282	2.096
A2M|XM_034785843.1|mRNA	24.397	0.121	0.000	0.000	2.136	2.253
A2M|XM_034785865.1|mRNA	0.655	0.000	0.509	0.000	2.117	1.548
A2M|XM_034785873.1|mRNA	5.355	0.000	0.000	0.600	0.000	0.000
A2M|XM_034785882.1|mRNA	5.529	0.088	0.336	0.581	0.000	0.000
A2M|XM_034785891.1|mRNA	7.990	0.000	1.230	0.000	0.000	0.000
A4GALT|XM_034783278.1|mRNA	0.680	0.513	0.000	0.000	0.000	0.000
A4GALT|XM_034783287.1|mRNA	0.498	1.903	6.400	8.846	7.699	6.567
AAAS|XM_034792500.1|mRNA	0.000	1.276	0.883	1.999	0.000	0.000
AAAS|XM_034792501.1|mRNA	0.520	1.852	0.000	2.206	0.000	1.380
AAAS|XM_034792502.1|mRNA	0.897	0.145	10.566	5.347	7.592	13.035
AACS|XM_034791317.1|mRNA	2.857	12.627	15.969	27.189	44.921	40.385
AADAC|XM_034781856.1|mRNA	0.753	3.708	3.284	3.751	2.025	2.237
AADAC|XM_034781857.1|mRNA	0.000	0.195	1.905	0.000	2.349	0.000
AADAC|XM_034781859.1|mRNA	0.202	2.067	23.342	1.309	10.197	8.142
AAGAB|XM_034783023.1|mRNA	10.790	27.402	32.054	71.948	34.832	15.511
AAGAB|XM_034783024.1|mRNA	0.747	0.638	0.000	3.291	0.000	17.315
AAK1|XM_034761770.1|mRNA	1.649	7.373	16.208	14.205	11.220	8.170
AAMDC|XM_034759103.1|mRNA	5.786	6.253	39.068	18.270	16.058	7.828
AAMDC|XM_034759104.1|mRNA	5.147	13.024	59.105	22.564	65.458	66.742
AAMP|XM_034786000.1|mRNA	2.095	2.914	4.443	8.521	11.284	11.269
AANAT|XM_034789765.1|mRNA	0.000	0.000	1.900	0.091	1.613	0.294
AAR2|XM_034787778.1|mRNA	1.400	3.125	21.067	9.417	29.673	20.767
AARS1|XM_034788359.1|mRNA	11.676	23.682	95.173	77.162	86.770	92.633
AARS2|XM_034764834.1|mRNA	0.546	1.151	5.589	3.462	5.237	5.399
AASDHPPT|XM_034758858.1|mRNA	1.828	3.786	19.880	7.547	12.557	15.794
AASDH|XM_034772268.1|mRNA	0.159	0.382	0.779	0.547	0.539	0.533
AASDH|XM_034772269.1|mRNA	1.098	1.314	4.551	5.020	9.100	0.337
AASDH|XM_034772272.1|mRNA	0.194	1.926	0.334	2.730	0.000	0.388
AASDH|XM_034772275.1|mRNA	0.582	1.619	15.654	2.070	9.054	5.245
AASDH|XR_004645924.1|transcript	0.450	4.532	16.176	3.108	15.261	18.424
AASS|XM_034768488.1|mRNA	2.770	0.594	2.024	0.912	0.000	0.000
AASS|XM_034768495.1|mRNA	1.038	0.925	0.000	7.376	0.000	0.000
AASS|XM_034768504.1|mRNA	9.972	3.774	12.495	12.967	22.095	15.679
AASS|XM_034768513.1|mRNA	0.821	1.587	0.395	2.514	0.345	1.495
AATF|XM_034752343.1|mRNA	3.029	4.697	15.144	17.121	19.920	17.890
AATK|XM_034789315.1|mRNA	2.210	7.922	14.062	14.429	10.689	12.215
ABAT|XM_034783527.1|mRNA	0.829	7.848	0.000	16.336	0.000	0.000
ABAT|XM_034783528.1|mRNA	0.199	1.502	2.410	2.492	2.989	0.000
ABAT|XM_034783529.1|mRNA	0.656	1.276	0.000	4.921	0.000	0.000
ABAT|XM_034783530.1|mRNA	12.015	27.535	213.074	21.612	91.556	71.301
ABCA13|XM_034761320.1|mRNA	0.021	0.139	0.406	0.327	0.502	0.403
ABCA1|XM_034773053.1|mRNA	1.952	2.293	0.008	7.866	7.447	7.509
ABCA1|XM_034773054.1|mRNA	1.023	1.592	6.190	11.542	10.630	10.508
ABCA2|XM_034751979.1|mRNA	0.001	0.186	9.796	0.027	0.000	2.878
ABCA2|XM_034751981.1|mRNA	0.841	1.652	0.902	3.879	0.000	3.582
ABCA2|XM_034751982.1|mRNA	0.406	0.320	0.078	0.550	7.366	0.000
ABCA2|XM_034751983.1|mRNA	0.005	2.866	0.059	4.758	0.003	0.025
ABCA3|XM_034783244.1|mRNA	1.157	2.011	7.553	6.240	2.570	9.050
ABCA3|XM_034783245.1|mRNA	0.677	0.435	1.129	1.522	6.394	0.847
ABCA4|XM_034780078.1|mRNA	0.092	0.435	1.255	0.549	0.301	0.443
ABCA5|XM_034789868.1|mRNA	4.239	22.035	30.528	31.175	22.692	22.061
ABCA7|XM_034755351.1|mRNA	0.269	0.732	1.862	1.067	2.109	1.123
ABCB10|XM_034765127.1|mRNA	1.894	7.826	11.484	11.587	12.351	18.306
ABCB11|XM_034785906.1|mRNA	0.510	0.089	0.431	0.504	1.849	0.623
ABCB11|XM_034785909.1|mRNA	13.872	0.000	0.060	0.087	0.000	0.454
ABCB1|XM_034760378.1|mRNA	3.287	0.377	0.312	0.280	0.311	0.428
ABCB7|XM_034781453.1|mRNA	5.201	6.399	24.987	13.875	24.850	27.324
ABCB8|XM_034759857.1|mRNA	0.076	0.337	33.425	0.758	46.968	37.912
ABCB9|XM_034791179.1|mRNA	1.108	4.835	21.704	9.343	18.646	8.868
ABCB9|XM_034791180.1|mRNA	0.000	0.000	4.084	0.000	0.001	3.370
ABCC10|XM_034764895.1|mRNA	0.294	0.799	1.410	1.634	1.079	0.594
ABCC12|XM_034788557.1|mRNA	0.483	0.137	0.428	0.000	0.000	0.335
