SeqID	ctrl_r1	ctrl_r2	0hpa_r1	0hpa_r2	6hpa_r1	24hpa_r1	24hpa_r2	72hpa_r1	72hpa_r2
1700017n19rik|rna13547|gene4145|Level=3	0.352	0.394	0.247	0.153	0.353	0.200	0.134	0.346	0.000
2310030g06rik|rna37370|gene17316|Level=3	24.566	35.205	36.679	28.109	38.447	25.553	31.810	15.512	28.815
42Sp50|rna26867|gene8315|Level=1	1.153	1.369	1.159	1.446	1.191	0.972	0.616	1.158	1.040
4930486l24rik|rna55710|gene28824|Level=3	0.055	0.165	0.000	0.000	0.129	0.251	0.168	0.347	0.424
4930562c15rik|rna61634|gene32587|Level=3	13.518	13.208	10.645	6.558	16.213	9.908	4.179	3.738	1.435
5430427o19rik|rna9422|gene2866|Level=3	0.519	0.693	1.023	0.427	2.602	1.410	1.993	3.265	3.083
COX3|rna28486|gene9400|Level=1	37261.700	46663.100	59777.500	48473.800	60579.400	48625.400	47736.200	46203.900	47089.800
LOC100036665|rna8436|gene2539|Level=3	0.182	0.302	0.152	0.439	0.189	0.215	0.246	0.271	0.104
LOC100037835|rna46461|gene23083|Level=3	4.836	5.921	6.211	3.140	5.267	3.897	6.022	6.476	4.252
LOC100037835|rna52835|gene27063|Level=3	2.395	3.540	2.602	1.430	2.830	2.451	3.250	2.959	2.962
LOC100038305|rna49441|gene24883|Level=3	64.071	85.171	84.637	53.546	82.132	52.435	53.210	66.331	71.499
LOC100124852|rna53257|gene27334|Level=3	0.256	0.245	0.396	0.190	0.189	0.390	0.275	0.162	0.531
LOC100125044|rna46910|gene23383|Level=3	0.846	1.140	1.122	0.878	1.178	0.821	1.251	1.803	1.417
LOC100125107|rna40665|gene19463|Level=3	40.523	80.188	47.166	47.072	50.166	38.651	35.791	97.561	43.526
LOC100125107|rna54567|gene28155|Level=3	47.826	70.209	59.508	49.548	57.626	43.879	45.761	121.315	50.450
LOC100127565|rna21931|gene6792|Level=3	0.098	0.196	0.245	0.285	0.252	0.149	0.100	0.206	0.252
LOC100127857|rna10844|gene3313|Level=3	4.395	5.569	4.521	14.733	25.378	33.202	18.993	2.387	17.087
LOC100135188|rna37088|gene17114|Level=3	3.229	4.106	4.116	4.473	3.422	4.481	5.479	8.878	6.351
LOC100135405|rna11386|gene3465|Level=3	28.964	63.501	53.318	32.661	34.962	23.556	45.256	39.712	83.646
LOC100144954|rna43261|gene21078|Level=3	1.615	1.236	1.313	1.624	1.101	0.742	0.969	1.704	1.363
LOC100144974|rna11066|gene3376|Level=3	7.844	10.270	7.288	5.085	4.338	5.697	5.390	7.877	6.055
LOC100145016|rna10714|gene3268|Level=3	1.423	1.592	4.996	3.399	13.376	31.607	25.957	51.063	34.681
LOC100145082|rna61273|gene32352|Level=3	113.148	72.214	87.097	65.587	112.462	93.713	47.252	49.124	43.989
LOC100145105|rna27723|gene8650|Level=3	8.576	3.701	11.400	2.697	2.668	11.146	15.144	12.003	10.801
LOC100145115|rna5350|gene1636|Level=3	4.321	8.126	10.872	15.340	12.620	7.394	7.734	12.170	19.119
LOC100145148|rna35310|gene15963|Level=3	26.286	28.976	28.679	28.446	23.965	21.327	28.402	38.920	27.057
LOC100145450|rna55759|gene28860|Level=3	3.557	2.649	2.871	3.208	2.975	2.610	3.529	3.732	2.581
LOC100145473|rna55038|gene28425|Level=3	5.589	6.543	5.365	6.012	10.611	10.477	9.147	11.701	9.019
LOC100145493|rna6961|gene2122|Level=3	4.274	4.034	4.046	4.321	5.566	5.433	6.545	9.017	4.849
LOC100170611|rna5222|gene1598|Level=3	1.806	2.508	2.161	1.798	2.268	1.993	1.572	1.200	0.827
LOC100216007|rna19981|gene6185|Level=3	2267.740	1744.010	3535.740	10400.600	3563.980	1975.620	1322.700	278.096	746.996
LOC100216241|rna57989|gene30285|Level=3	1.253	1.203	0.177	0.238	0.221	0.443	1.213	1.727	0.748
LOC100217322|rna63662|gene33790|Level=3	0.785	2.191	2.411	5.383	4.276	3.544	14.034	25.518	23.380
LOC100271753|rna8944|gene2701|Level=3	1.197	1.942	0.231	2.629	1.541	5.505	14.148	9.258	7.764
LOC100484994|rna62208|gene32927|Level=3	0.683	1.309	0.459	0.129	0.976	0.323	0.790	1.051	0.453
LOC100485006|rna52417|gene26807|Level=3	4.004	3.328	2.524	2.141	2.184	2.783	5.205	7.406	14.103
LOC100485032|rna62513|gene33099|Level=3	2.063	2.845	2.902	1.814	1.967	1.828	1.448	1.700	0.948
LOC100485040|rna35758|gene16230|Level=3	3.228	4.586	1.202	2.200	1.091	0.984	2.167	3.192	1.828
LOC100485062|rna47542|gene23773|Level=3	0.758	1.210	1.178	0.969	1.126	1.013	1.694	2.046	1.427
LOC100485064|rna2792|gene871|Level=3	5.135	4.370	3.485	4.771	6.659	6.766	7.460	8.372	6.116
LOC100485096|rna43036|gene20938|Level=3	0.108	0.320	1.273	0.124	0.456	2.453	0.000	0.056	0.643
LOC100485132|rna31518|gene12393|Level=3	0.221	0.324	0.515	0.000	0.620	0.560	0.549	2.072	1.084
LOC100485132|rna50545|gene25599|Level=3	0.126	0.231	0.163	0.434	0.168	0.239	0.386	0.414	0.432
LOC100485142|rna57719|gene30116|Level=3	8.996	16.031	7.589	12.800	7.649	11.425	14.949	25.765	13.702
LOC100485167|rna23700|gene7335|Level=3	2.385	5.221	3.457	7.828	3.624	3.641	21.931	22.445	40.795
LOC100485174|rna60590|gene31970|Level=3	0.150	0.336	0.140	0.130	0.301	0.456	0.114	0.531	0.000
LOC100485199|rna12102|gene3693|Level=3	1.983	3.662	2.077	3.362	2.485	1.828	3.731	8.557	3.693
LOC100485201|rna39117|gene18397|Level=3	2.560	2.862	0.998	2.115	2.917	2.932	4.866	4.053	2.634
LOC100485232|rna37130|gene17142|Level=3	0.200	0.388	0.355	0.096	0.270	0.460	0.488	0.406	0.398
LOC100485294|rna38153|gene17782|Level=3	0.332	0.236	0.000	0.000	0.318	0.000	0.216	0.842	0.374
LOC100485340|rna19388|gene6007|Level=3	0.103	0.000	0.392	0.200	0.319	0.000	0.000	0.046	0.144
LOC100485380|rna41850|gene20195|Level=3	0.761	1.790	0.665	0.367	0.401	1.206	1.156	0.784	1.431
LOC100485387-like.1|rna31862|gene12735|Level=3	2.547	6.585	1.114	1.161	2.241	4.174	5.447	2.604	1.249
LOC100485404|rna14733|gene4527|Level=3	0.206	2.735	4.436	0.752	0.806	0.594	1.942	1.345	2.325
LOC100485439|rna28594|gene9507|Level=3	0.353	0.455	0.000	0.175	0.137	0.077	0.153	0.283	0.132
LOC100485511|rna47035|gene23468|Level=3	27.204	28.108	34.426	25.590	41.837	32.546	31.991	37.779	52.992
LOC100485512|rna36677|gene16825|Level=3	0.130	0.195	0.223	0.509	0.552	0.428	1.237	1.239	0.557
LOC100485534|rna12965|gene3967|Level=3	0.045	0.136	0.043	0.040	0.095	0.121	0.190	0.304	0.262
LOC100485552|rna57502|gene29978|Level=3	2.826	3.280	3.220	1.536	4.737	2.518	1.288	0.840	0.410
LOC100485553|rna3721|gene1159|Level=3	0.073	0.054	0.102	0.317	0.085	0.581	0.803	0.674	1.776
LOC100485599|rna34121|gene14947|Level=3	154.016	120.399	111.741	111.060	97.240	141.415	197.578	195.529	145.838
LOC100485614|rna35808|gene16261|Level=3	3.316	4.575	8.306	3.524	1.885	5.309	4.387	5.785	4.104
LOC100485626|rna49965|gene25224|Level=3	29.114	78.440	86.766	151.009	32.146	100.470	770.314	91.286	1025.590
LOC100485669|rna44197|gene21631|Level=3	0.065	0.449	0.442	0.303	0.051	0.210	0.070	0.000	0.000
LOC100485670|rna48693|gene24460|Level=3	1.838	1.394	0.995	0.930	1.213	1.344	1.340	2.242	1.173
LOC100485704|rna59009|gene30913|Level=3	3.799	1.353	0.921	0.427	1.721	1.927	1.229	2.006	3.097
LOC100485719|rna26239|gene8129|Level=3	2.276	1.606	1.588	1.357	2.758	2.883	2.271	2.298	2.003
LOC100485772|rna44052|gene21538|Level=3	0.227	0.413	0.376	0.044	0.548	0.191	0.233	0.159	0.129
LOC100485794|rna35849|gene16291|Level=3	13.016	10.005	5.680	11.434	9.469	10.262	12.749	13.636	13.411
LOC100485833|rna42066|gene20320|Level=3	0.142	0.098	0.062	0.076	0.099	0.116	0.167	0.129	0.169
LOC100485840|rna45932|gene22769|Level=3	3.323	3.086	2.985	1.692	4.763	1.848	1.332	1.512	1.249
LOC100485864|rna54953|gene28374|Level=3	0.435	0.514	0.567	0.285	0.380	0.444	0.631	1.094	0.489
LOC100485898|rna22656|gene7028|Level=3	32.045	36.082	30.166	28.015	28.171	23.375	37.187	25.802	21.618
LOC100485905|rna37845|gene17615|Level=3	14.012	12.416	8.881	8.077	13.925	14.652	16.614	17.708	9.210
LOC100485920|rna16726|gene5140|Level=3	42.173	37.809	27.969	24.500	22.447	21.385	39.465	74.006	60.046
LOC100485927|rna59182|gene31030|Level=3	0.065	0.147	0.206	0.240	0.142	0.227	0.795	0.325	0.224
LOC100485943|rna59273|gene31097|Level=3	2.790	4.249	1.742	2.366	4.003	3.356	4.575	4.120	3.394
LOC100485955|rna55228|gene28543|Level=3	9.900	13.744	9.592	10.487	10.746	12.621	12.086	13.284	15.894
LOC100485975|rna52608|gene26928|Level=3	0.275	0.819	0.280	0.910	1.268	0.872	0.721	1.649	1.472
LOC100485991|rna58174|gene30377|Level=3	0.000	0.138	0.347	0.268	0.279	0.188	0.141	0.170	0.000
LOC100486003|rna9184|gene2784|Level=3	9.863	16.998	14.657	22.609	22.362	14.050	13.880	35.428	16.085
LOC100486035|rna52325|gene26745|Level=3	0.567	0.846	0.885	0.985	1.432	1.387	1.149	1.685	0.647
LOC100486038|rna41261|gene19841|Level=3	2.320	1.863	0.000	3.616	3.219	2.010	1.731	4.194	0.884
LOC100486065|rna55393|gene28628|Level=3	0.437	0.147	0.105	0.098	0.146	0.192	0.128	0.266	0.433
LOC100486074|rna496|gene169|Level=3	14.656	9.928	12.031	9.581	14.003	18.579	17.900	11.438	7.580
LOC100486093|rna48428|gene24307|Level=3	2.290	2.321	1.741	4.630	5.207	3.667	4.649	9.988	3.671
LOC100486098|rna2297|gene721|Level=3	0.449	0.669	2.521	1.559	0.450	1.363	2.047	0.706	1.151
LOC100486142|rna42794|gene20775|Level=3	2.170	2.214	2.148	2.578	2.930	2.837	2.894	3.683	2.533
LOC100486150|rna46837|gene23331|Level=3	4.968	9.699	1.613	6.936	5.295	0.033	2.881	5.867	0.000
LOC100486155|rna58519|gene30602|Level=3	0.134	0.234	0.024	0.374	0.150	0.042	0.303	0.382	0.260
LOC100486158|rna53844|gene27682|Level=3	0.133	0.132	0.498	0.231	1.588	0.741	1.249	1.915	1.589
LOC100486181|rna33303|gene14147|Level=3	7.132	9.512	6.393	4.187	10.287	12.582	13.586	16.388	8.630
LOC100486202|rna48156|gene24146|Level=3	0.778	0.552	0.186	0.538	0.516	0.753	0.621	0.654	0.410
LOC100486224|rna61558|gene32527|Level=3	0.507	0.203	0.278	0.107	0.227	0.300	0.094	0.272	0.317
LOC100486241|rna29058|gene9965|Level=3	1.317	0.943	0.887	0.915	0.667	1.759	1.841	3.810	1.351
LOC100486241|rna46950|gene23408|Level=3	0.712	0.000	0.000	0.618	0.248	0.000	1.082	0.000	0.000
LOC100486247|rna35827|gene16275|Level=3	4.683	3.896	3.143	2.432	4.344	4.241	5.892	6.079	4.383
LOC100486258|rna34176|gene15001|Level=3	7.232	18.527	14.797	17.673	15.734	17.747	9.968	15.869	5.176
LOC100486287|rna28577|gene9490|Level=3	0.871	1.283	1.384	0.879	0.850	0.858	1.210	0.877	1.576
LOC100486289|rna51170|gene25983|Level=3	10.526	21.637	29.631	21.353	22.853	16.722	22.419	23.870	23.765
LOC100486380|rna6135|gene1878|Level=3	0.154	0.229	0.329	0.611	0.059	0.033	0.067	0.035	0.113
LOC100486393|rna60845|gene32099|Level=3	12.511	7.850	7.354	6.691	4.193	5.444	6.840	12.536	22.794
LOC100486425|rna55716|gene28830|Level=3	0.183	0.103	0.687	1.831	4.457	2.401	1.254	0.775	0.294
LOC100486439|rna36415|gene16654|Level=3	0.110	0.426	0.275	0.070	0.198	0.142	0.075	0.179	0.055
LOC100486443|rna53886|gene27715|Level=3	0.646	0.637	0.512	0.786	0.834	1.305	1.073	1.165	1.147
LOC100486478|rna52846|gene27070|Level=3	0.158	0.148	0.074	0.086	0.172	0.331	0.421	0.334	0.127
LOC100486498|rna43510|gene21232|Level=3	18.822	17.178	9.612	15.437	14.402	12.453	21.501	17.195	20.917
LOC100486501|rna48941|gene24600|Level=3	19.961	30.242	50.115	32.748	58.663	37.056	25.536	53.352	23.194
LOC100486511|rna37339|gene17292|Level=3	3.243	5.952	5.479	3.762	10.557	22.926	25.630	11.327	14.338
LOC100486529|rna442|gene151|Level=3	0.000	0.000	0.215	0.599	0.154	0.233	0.698	0.331	0.196
LOC100486535|rna14717|gene4521|Level=3	3.711	3.505	3.793	4.148	5.922	4.651	7.475	8.176	5.661
LOC100486571|rna7783|gene2353|Level=3	0.692	0.900	2.911	0.713	3.476	0.889	2.097	0.662	0.000
LOC100486588|rna47331|gene23654|Level=3	10.265	12.110	9.537	9.849	9.820	10.854	12.825	13.477	9.297
LOC100486596-like.1|rna32564|gene13423|Level=3	43.523	91.457	68.509	58.413	51.062	116.391	57.873	10.111	27.906
LOC100486596-like.2|rna27707|gene8634|Level=3	4.085	4.497	4.552	2.703	3.981	8.122	7.686	14.187	18.834
LOC100486597|rna15756|gene4835|Level=3	124.271	82.771	69.901	101.363	176.925	258.696	203.734	168.466	184.740
LOC100486608|gene26480|gene26480|Level=3	0.748	0.745	1.186	0.235	0.523	0.422	0.622	0.818	0.404
LOC100486681|rna55853|gene28919|Level=3	0.000	0.000	0.000	1.810	1.393	1.582	0.000	5.736	0.000
LOC100486692|rna1534|gene491|Level=3	0.583	1.344	1.952	2.486	1.494	4.240	4.217	4.350	5.485
LOC100486765|rna19524|gene6051|Level=3	1.874	0.843	1.208	0.757	0.504	0.769	0.436	3.490	2.883
LOC100486773|rna48621|gene24421|Level=3	5.631	4.702	5.805	4.507	7.565	5.240	6.448	3.968	1.697
LOC100486807|rna47835|gene23949|Level=3	2.356	3.209	3.245	2.059	2.934	2.631	3.159	3.970	2.654
LOC100486832|rna37455|gene17357|Level=3	2.276	2.050	1.864	1.606	2.360	2.303	3.566	2.013	1.581
LOC100486836|rna51143|gene25961|Level=3	6.358	7.817	2.057	4.568	0.875	2.325	3.932	5.240	1.709
LOC100486853|rna29251|gene10155|Level=3	17.964	16.885	20.749	17.418	18.501	17.581	18.775	22.337	12.722
LOC100486870|rna45875|gene22731|Level=3	0.025	0.330	0.050	0.185	0.068	0.000	0.114	0.315	0.186
LOC100486881-like|rna30385|gene11270|Level=3	0.160	0.835	0.150	1.111	0.080	0.364	5.467	10.057	10.867
LOC100486894|rna48084|gene24098|Level=3	4.437	4.411	3.631	3.342	4.964	6.025	7.735	7.310	5.390
LOC100486918|rna53913|gene27730|Level=3	5.686	10.575	18.749	10.635	24.230	10.777	30.112	11.903	33.193
LOC100486952|rna59359|gene31158|Level=3	0.177	0.216	0.180	0.251	0.252	0.098	0.244	0.240	0.165
LOC100486969|rna1599|gene517|Level=3	0.000	0.240	0.000	0.000	5.157	11.473	1.222	604.285	992.670
LOC100486992|rna26452|gene8188|Level=3	5.645	5.691	5.098	6.491	7.850	7.092	8.428	6.205	5.302
LOC100487003|rna34716|gene15538|Level=3	0.033	0.299	0.000	0.058	0.101	0.559	0.102	1.105	1.287
LOC100487008|rna15974|gene4911|Level=3	1.998	2.228	1.961	1.096	2.124	1.444	0.527	2.049	0.879
