SeqID	ctrl_1	6hpi_1	1dpi_1	3dpi_1	1wpi_1	2wpi_1	3wpi_1	4wpi_1	5wpi_1	6wpi_1	12wpi_1
5S_rRNA|ENSPMAT00000011477	0.320	0.000	0.578	0.000	0.000	0.000	0.221	0.164	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000011487	0.822	0.380	0.364	0.238	0.041	0.183	0.270	0.176	0.474	0.176	0.744
5S_rRNA|ENSPMAT00000011488	0.308	1.541	0.276	1.676	1.048	1.161	0.771	1.134	0.000	1.433	0.496
5S_rRNA|ENSPMAT00000011489	0.162	0.000	0.291	0.696	0.790	0.000	0.216	0.000	0.000	0.599	0.512
5S_rRNA|ENSPMAT00000011491	0.314	0.000	0.286	0.343	0.000	0.345	0.000	0.165	1.135	0.582	0.505
5S_rRNA|ENSPMAT00000011492	0.719	0.000	1.444	3.445	0.788	0.584	1.214	0.328	1.716	0.876	1.005
5S_rRNA|ENSPMAT00000011494	1.679	6.447	2.599	7.235	3.941	1.401	3.753	1.642	6.292	2.335	13.071
5S_rRNA|ENSPMAT00000011496	0.000	3.727	0.000	0.000	0.934	0.000	0.502	1.475	0.000	0.944	0.505
5S_rRNA|ENSPMAT00000011501	0.253	0.000	0.777	0.000	0.000	0.000	0.000	0.000	0.720	0.000	0.000
5S_rRNA|ENSPMAT00000011504	0.161	0.000	0.000	0.692	0.263	0.350	0.000	0.164	0.000	0.000	0.506
5S_rRNA|ENSPMAT00000011505	0.235	3.193	0.858	3.431	1.838	0.230	0.885	1.317	2.269	1.746	5.558
5S_rRNA|ENSPMAT00000011506	1.154	6.729	2.305	3.871	1.586	1.766	1.415	2.516	6.598	2.130	9.681
5S_rRNA|ENSPMAT00000011511	0.000	0.000	0.322	0.000	0.000	0.000	0.113	0.000	1.161	0.000	0.000
5S_rRNA|ENSPMAT00000011512	0.177	0.000	0.263	0.734	0.000	0.000	0.350	0.000	0.000	0.178	0.000
5S_rRNA|ENSPMAT00000011513	0.723	0.000	0.000	0.000	0.000	0.000	0.335	0.768	0.000	0.000	0.569
5S_rRNA|ENSPMAT00000011516	0.000	0.000	0.000	0.000	0.525	0.230	0.111	0.165	0.000	0.582	1.516
5S_rRNA|ENSPMAT00000011518	0.771	0.000	0.562	2.014	0.522	0.000	0.331	0.329	1.128	0.288	0.499
5S_rRNA|ENSPMAT00000011523	0.933	6.336	0.857	1.346	0.523	0.460	0.888	0.331	0.567	1.158	0.501
5S_rRNA|ENSPMAT00000011527	0.778	9.504	0.000	2.691	0.262	0.805	0.777	1.160	2.269	0.579	1.502
5S_rRNA|ENSPMAT00000011529	0.684	0.000	0.860	2.469	0.269	0.235	0.330	0.335	1.223	1.242	2.536
5S_rRNA|ENSPMAT00000011536	1.056	3.275	0.000	2.434	1.054	0.117	0.864	0.332	4.065	2.697	0.512
5S_rRNA|ENSPMAT00000011538	3.757	24.176	10.685	32.386	7.357	5.138	4.967	7.391	19.448	20.724	39.715
5S_rRNA|ENSPMAT00000011547	19.551	11.462	11.935	2.782	2.239	0.291	14.830	1.824	10.454	0.598	1.279
5S_rRNA|ENSPMAT00000011549	0.422	0.210	0.158	0.092	0.000	0.000	0.124	0.000	0.196	0.000	0.045
5S_rRNA|ENSPMAT00000011555	1.852	4.873	0.865	4.841	0.263	0.583	2.506	1.148	2.309	3.560	7.088
5S_rRNA|ENSPMAT00000011556	5.339	53.547	23.002	54.592	30.427	32.059	24.333	17.683	136.259	13.263	330.874
5S_rRNA|ENSPMAT00000011557	0.081	0.000	0.000	0.346	0.000	0.000	0.000	0.164	2.886	0.000	0.506
5S_rRNA|ENSPMAT00000011558	0.782	1.322	0.162	0.008	0.000	0.000	0.278	0.000	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000011560	0.288	0.000	0.549	0.058	0.000	0.000	0.348	0.033	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000011565	0.342	0.000	0.000	2.116	0.538	0.706	0.330	0.502	1.223	0.621	2.028
5S_rRNA|ENSPMAT00000011566	0.762	0.000	0.000	0.352	0.537	0.000	0.000	0.000	0.605	0.000	1.016
5S_rRNA|ENSPMAT00000011569	0.471	0.000	0.286	0.343	0.000	0.000	0.000	0.329	0.567	0.291	0.000
5S_rRNA|ENSPMAT00000011574	0.350	0.000	0.451	0.000	0.000	0.000	0.288	0.000	0.000	0.000	0.229
5S_rRNA|ENSPMAT00000011586	0.334	0.000	0.404	0.000	0.263	0.001	0.405	0.000	0.709	0.000	0.097
5S_rRNA|ENSPMAT00000011590	1.438	1.505	0.537	3.268	1.564	1.625	0.989	1.124	0.000	2.230	1.923
5S_rRNA|ENSPMAT00000011594	0.291	0.000	0.254	0.000	0.264	0.000	0.223	0.000	0.000	0.560	0.000
5S_rRNA|ENSPMAT00000011595	1.047	1.625	0.576	3.112	0.526	0.700	0.981	1.804	0.577	0.890	3.038
5S_rRNA|ENSPMAT00000011596	0.458	1.307	0.170	0.955	0.574	0.518	0.372	0.175	0.000	1.208	0.299
5S_rRNA|ENSPMAT00000011597	1.199	3.223	0.866	5.857	3.153	1.868	4.084	1.478	2.288	1.168	6.033
5S_rRNA|ENSPMAT00000011600	0.785	0.000	0.858	2.059	0.788	0.460	0.775	1.481	3.971	2.328	1.011
5S_rRNA|ENSPMAT00000011601	0.400	0.000	0.289	0.345	1.051	0.584	0.331	0.000	0.000	0.000	0.503
5S_rRNA|ENSPMAT00000011603	0.364	1.450	0.000	0.612	1.586	0.234	0.669	0.321	1.096	0.280	1.808
5S_rRNA|ENSPMAT00000011604	1.123	0.000	0.920	0.835	0.823	0.981	0.919	1.295	3.336	1.963	2.943
5S_rRNA|ENSPMAT00000011606	0.822	0.380	0.364	0.238	0.041	0.183	0.270	0.176	0.474	0.176	0.744
5S_rRNA|ENSPMAT00000011608	0.242	0.000	0.576	1.383	0.000	0.583	0.981	0.164	1.732	0.593	0.506
5S_rRNA|ENSPMAT00000011609	0.564	8.122	0.576	2.075	0.788	0.350	1.416	0.328	1.732	0.890	2.532
5S_rRNA|ENSPMAT00000011610	0.389	1.584	0.571	2.018	0.523	0.230	1.220	0.497	1.135	0.000	1.001
5S_rRNA|ENSPMAT00000011613	1.852	6.498	0.865	7.262	2.628	2.216	2.179	1.804	1.732	2.077	6.076
5S_rRNA|ENSPMAT00000011615	4.786	63.853	15.152	55.931	14.966	8.738	9.629	13.004	28.364	17.170	72.254
5S_rRNA|ENSPMAT00000011616	0.467	9.504	0.571	0.673	0.262	0.230	0.444	0.331	0.000	0.290	2.003
5S_rRNA|ENSPMAT00000011619	15.431	25.518	2.866	15.594	17.701	14.636	26.291	18.058	59.041	9.124	29.616
5S_rRNA|ENSPMAT00000011620	0.202	2.436	0.000	0.000	0.000	0.000	0.408	0.000	0.000	0.363	0.000
5S_rRNA|ENSPMAT00000011621	0.454	0.509	0.000	0.000	0.000	0.000	0.011	0.117	0.000	0.004	0.000
5S_rRNA|ENSPMAT00000011630	2.746	14.367	3.145	10.294	6.039	1.955	5.645	3.292	7.942	1.455	6.569
5S_rRNA|ENSPMAT00000011632	0.933	0.000	1.428	1.682	0.785	1.150	0.111	0.994	3.971	0.579	0.501
5S_rRNA|ENSPMAT00000011634	0.454	4.514	0.000	0.000	0.000	0.116	0.220	0.161	0.000	0.836	0.962
5S_rRNA|ENSPMAT00000011635	9.730	36.715	10.006	89.559	29.931	10.003	8.301	9.218	36.874	22.699	53.559
5S_rRNA|ENSPMAT00000011636	18.544	111.210	10.107	42.721	21.807	13.313	14.681	18.231	33.748	16.345	66.360
5S_rRNA|ENSPMAT00000011637	0.306	0.000	0.000	0.000	0.000	0.116	0.000	0.162	0.000	0.853	0.488
5S_rRNA|ENSPMAT00000011639	1.649	8.411	1.153	1.760	0.793	0.353	1.088	0.671	1.799	2.434	4.076
5S_rRNA|ENSPMAT00000011641	0.778	3.168	1.142	1.682	1.308	0.460	0.666	0.663	0.000	1.448	2.503
5S_rRNA|ENSPMAT00000011650	0.080	0.000	1.733	1.034	0.000	0.234	0.221	0.164	0.000	0.000	2.514
